run_id,claim_name,source_recipe,family,adapter_name,adapter_label,metric,status,point,ci95_low,ci95_high,groups,rows,iterations
r029,behavior_clean_3k,behavior_clean,single_source_clean,checkpoint_step_0050,step50,SFT_dev_tool_call_accuracy,complete,0.7720797720797721,0.7293447293447294,0.8148148148148148,351,351,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,checkpoint_step_0050,step50,SFT_dev_behavior_accuracy,complete,0.822,0.788,0.854,500,500,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,checkpoint_step_0050,step50,strict_parse_success,complete,0.9914529914529915,0.98005698005698,1.0,351,351,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,checkpoint_step_0050,step50,schema_validity,complete,1.0,1.0,1.0,351,351,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,checkpoint_step_0050,step50,nontrivial_error_rate,complete,0.3,0.2633333333333333,0.33666666666666667,600,600,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,checkpoint_step_0050,step50,FunctionChat_argument_accuracy,complete,0.81,0.73,0.88,100,100,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,checkpoint_step_0050,step50,FunctionChat_output_type_accuracy,complete,0.81,0.73,0.89,100,100,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,checkpoint_step_0050,step50,FunctionChat_function_name_accuracy,complete,0.92,0.87,0.97,100,100,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,checkpoint_step_0050,step50,FunctionChat_tool_hallucination_rate,complete,0.0,0.0,0.0,100,100,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,checkpoint_step_0050,step50,IFEval_instruction_accuracy,complete,0.7232704402515723,0.6513157894736842,0.7922077922077922,100,100,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,checkpoint_step_0050,step50,IFEval_prompt_strict_accuracy,complete,0.56,0.46,0.66,100,100,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,dpo_best_adapter,final,BFCL_core_accuracy,complete,0.66,0.61,0.71,300,300,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,dpo_best_adapter,final,When2Call_behavior_accuracy,complete,0.64,0.5833333333333334,0.6933333333333334,300,300,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,dpo_best_adapter,final,When2Call_macro_F1,complete,0.5277754413117107,0.48873337249239,0.5654612386996046,300,300,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,dpo_best_adapter,final,SFT_dev_tool_call_accuracy,complete,0.7663817663817664,0.7207977207977208,0.811965811965812,351,351,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,dpo_best_adapter,final,SFT_dev_behavior_accuracy,complete,0.81,0.778,0.844,500,500,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,dpo_best_adapter,final,strict_parse_success,complete,0.9914529914529915,0.98005698005698,1.0,351,351,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,dpo_best_adapter,final,schema_validity,complete,1.0,1.0,1.0,351,351,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,dpo_best_adapter,final,nontrivial_error_rate,complete,0.2916666666666667,0.255,0.33,600,600,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,dpo_best_adapter,final,FunctionChat_argument_accuracy,complete,0.8,0.72,0.88,100,100,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,dpo_best_adapter,final,FunctionChat_output_type_accuracy,complete,0.8,0.72,0.88,100,100,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,dpo_best_adapter,final,FunctionChat_function_name_accuracy,complete,0.9,0.83,0.96,100,100,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,dpo_best_adapter,final,FunctionChat_tool_hallucination_rate,complete,0.0,0.0,0.0,100,100,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,dpo_best_adapter,final,IFEval_instruction_accuracy,complete,0.7169811320754716,0.6524390243902439,0.7806451612903226,100,100,1000
r029,behavior_clean_3k,behavior_clean,single_source_clean,dpo_best_adapter,final,IFEval_prompt_strict_accuracy,complete,0.54,0.44,0.64,100,100,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,BFCL_core_accuracy,complete,0.71,0.66,0.7633333333333333,300,300,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,When2Call_behavior_accuracy,complete,0.5766666666666667,0.5233333333333333,0.63,300,300,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,When2Call_macro_F1,complete,0.48203144003800225,0.4383226772772961,0.5225815850815851,300,300,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,SFT_dev_tool_call_accuracy,complete,0.7834757834757835,0.7407407407407407,0.8233618233618234,351,351,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,SFT_dev_behavior_accuracy,complete,0.83,0.796,0.862,500,500,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,strict_parse_success,complete,0.9914529914529915,0.9829059829059829,1.0,351,351,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,schema_validity,complete,1.0,1.0,1.0,351,351,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,nontrivial_error_rate,complete,0.3383333333333333,0.29833333333333334,0.375,600,600,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,FunctionChat_argument_accuracy,complete,0.84,0.77,0.91,100,100,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,FunctionChat_output_type_accuracy,complete,0.84,0.76,0.91,100,100,1000
