mixed_run_id,mixed_adapter_label,mixed_source_recipe,comparator_run_id,comparator_adapter_label,comparator_source_recipe,comparator_family,metric,direction,mixed_value,comparator_value,mixed_minus_comparator,mixed_delta_vs_r004,comparator_delta_vs_r004,mixed_minus_comparator_delta
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d001,step50,noised_gold_unfiltered,single_source_unfiltered_control,schema_validity,higher_is_better,1.0,1.0,0.0,0.0,0.0,0.0
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d002,step50,behavior_unfiltered,single_source_unfiltered_control,schema_validity,higher_is_better,1.0,1.0,0.0,0.0,0.0,0.0
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,r028,step50,noised_gold_clean,single_source_clean,tool_call_accuracy_on_sft_dev,higher_is_better,0.7777777777777778,0.7777777777777778,0.0,0.02279202279202286,0.02279202279202286,0.0
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,r029,step50,behavior_clean,single_source_clean,tool_call_accuracy_on_sft_dev,higher_is_better,0.7777777777777778,0.7720797720797721,0.005698005698005715,0.02279202279202286,0.017094017094017144,0.005698005698005715
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d001,step50,noised_gold_unfiltered,single_source_unfiltered_control,tool_call_accuracy_on_sft_dev,higher_is_better,0.7777777777777778,0.7834757834757835,-0.005698005698005715,0.02279202279202286,0.028490028490028574,-0.005698005698005715
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d002,step50,behavior_unfiltered,single_source_unfiltered_control,tool_call_accuracy_on_sft_dev,higher_is_better,0.7777777777777778,0.7720797720797721,0.005698005698005715,0.02279202279202286,0.017094017094017144,0.005698005698005715
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,r028,step50,noised_gold_clean,single_source_clean,behavior_accuracy_on_sft_dev,higher_is_better,0.826,0.826,0.0,0.015999999999999903,0.015999999999999903,0.0
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,r029,step50,behavior_clean,single_source_clean,behavior_accuracy_on_sft_dev,higher_is_better,0.826,0.822,0.0040000000000000036,0.015999999999999903,0.0119999999999999,0.0040000000000000036
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d001,step50,noised_gold_unfiltered,single_source_unfiltered_control,behavior_accuracy_on_sft_dev,higher_is_better,0.826,0.83,-0.0040000000000000036,0.015999999999999903,0.019999999999999907,-0.0040000000000000036
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d002,step50,behavior_unfiltered,single_source_unfiltered_control,behavior_accuracy_on_sft_dev,higher_is_better,0.826,0.824,0.0020000000000000018,0.015999999999999903,0.013999999999999901,0.0020000000000000018
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,r028,step50,noised_gold_clean,single_source_clean,nontrivial_error_rate,lower_is_better,0.31333333333333335,0.3416666666666667,-0.02833333333333332,-0.046666666666666634,-0.018333333333333313,-0.02833333333333332
