comparison,checkpoint,suffix,run_id,source,condition,BFCL_core_accuracy,When2Call_behavior_accuracy,When2Call_macro_F1,primary_envelope_score,FunctionChat_output_type_accuracy,FunctionChat_function_name_accuracy,IFEval_instruction_accuracy,IFEval_prompt_strict_accuracy,primary_metrics_path,secondary_metrics_path
pool_a_original,step50,checkpoint_step_0050,r028,noised_gold,noised_gold_pool_a,0.7133333333333334,0.5666666666666667,0.4765297500820921,0.594932,0.84,0.95,0.7295597484276729,0.5729166666666666,experiments/exp_07_stage3d_high_confidence_clean_dpo_main/artifacts/runs/r028/stage1_primary_eval_metrics_checkpoint_step_0050.json,experiments/exp_07_stage3d_high_confidence_clean_dpo_main/artifacts/runs/r028/stage1_secondary_eval_metrics_checkpoint_step_0050.json
pool_a_original,best,dpo_best,r028,noised_gold,noised_gold_pool_a,0.6933333333333334,0.5766666666666667,0.47945062669076555,0.586392,0.85,0.94,0.7044025157232704,0.5208333333333334,experiments/exp_07_stage3d_high_confidence_clean_dpo_main/artifacts/runs/r028/stage1_primary_eval_metrics_dpo_best.json,experiments/exp_07_stage3d_high_confidence_clean_dpo_main/artifacts/runs/r028/stage1_secondary_eval_metrics_dpo_best.json
pool_a_original,step50,checkpoint_step_0050,r029,behavior,behavior_pool_a,0.68,0.6333333333333333,0.5296360748883332,0.604818,0.81,0.92,0.7232704402515723,0.5833333333333334,experiments/exp_07_stage3d_high_confidence_clean_dpo_main/artifacts/runs/r029/stage1_primary_eval_metrics_checkpoint_step_0050.json,experiments/exp_07_stage3d_high_confidence_clean_dpo_main/artifacts/runs/r029/stage1_secondary_eval_metrics_checkpoint_step_0050.json
pool_a_original,best,dpo_best,r029,behavior,behavior_pool_a,0.66,0.64,0.5277754413117107,0.593888,0.8,0.9,0.7169811320754716,0.5625,experiments/exp_07_stage3d_high_confidence_clean_dpo_main/artifacts/runs/r029/stage1_primary_eval_metrics_dpo_best.json,experiments/exp_07_stage3d_high_confidence_clean_dpo_main/artifacts/runs/r029/stage1_secondary_eval_metrics_dpo_best.json
pool_b_replicate,step50,checkpoint_step_0050,s8r005,noised_gold,noised_gold_pool_b,0.7133333333333334,0.57,0.4785983873734775,0.595966,0.84,0.95,0.710691823899371,0.5416666666666666,experiments/exp_13_stage8_data_sampling_robustness/artifacts/runs/s8r005/stage1_primary_eval_metrics_checkpoint_step_0050.json,experiments/exp_13_stage8_data_sampling_robustness/artifacts/runs/s8r005/stage1_secondary_eval_metrics_checkpoint_step_0050.json
pool_b_replicate,best,dpo_best,s8r005,noised_gold,noised_gold_pool_b,0.7033333333333334,0.5766666666666667,0.47455061692935535,0.588942,0.85,0.95,0.710691823899371,0.5416666666666666,experiments/exp_13_stage8_data_sampling_robustness/artifacts/runs/s8r005/stage1_primary_eval_metrics_dpo_best.json,experiments/exp_13_stage8_data_sampling_robustness/artifacts/runs/s8r005/stage1_secondary_eval_metrics_dpo_best.json
pool_b_replicate,step50,checkpoint_step_0050,s8r006,behavior,behavior_pool_b,0.68,0.6333333333333333,0.5289778428660538,0.604489,0.81,0.92,0.7232704402515723,0.5729166666666666,experiments/exp_13_stage8_data_sampling_robustness/artifacts/runs/s8r006/stage1_primary_eval_metrics_checkpoint_step_0050.json,experiments/exp_13_stage8_data_sampling_robustness/artifacts/runs/s8r006/stage1_secondary_eval_metrics_checkpoint_step_0050.json
pool_b_replicate,best,dpo_best,s8r006,behavior,behavior_pool_b,0.6633333333333333,0.6433333333333333,0.5328096426935104,0.598071,0.8,0.9,0.710691823899371,0.5520833333333334,experiments/exp_13_stage8_data_sampling_robustness/artifacts/runs/s8r006/stage1_primary_eval_metrics_dpo_best.json,experiments/exp_13_stage8_data_sampling_robustness/artifacts/runs/s8r006/stage1_secondary_eval_metrics_dpo_best.json
