condition,n_stage6_seeds,BFCL_core_accuracy_mean,BFCL_core_accuracy_min,BFCL_core_accuracy_max,BFCL_core_accuracy_range,When2Call_behavior_accuracy_mean,When2Call_behavior_accuracy_min,When2Call_behavior_accuracy_max,When2Call_behavior_accuracy_range,When2Call_macro_F1_mean,When2Call_macro_F1_min,When2Call_macro_F1_max,When2Call_macro_F1_range,primary_envelope_score_mean,primary_envelope_score_min,primary_envelope_score_max,primary_envelope_score_range,functionchat_output_type_accuracy_mean,functionchat_output_type_accuracy_min,functionchat_output_type_accuracy_max,functionchat_output_type_accuracy_range,ifeval_style_instruction_accuracy_mean,ifeval_style_instruction_accuracy_min,ifeval_style_instruction_accuracy_max,ifeval_style_instruction_accuracy_range
noised_gold,2,0.6966666666666667,0.6933333333333334,0.7,0.006666666666666599,0.585,0.5833333333333334,0.5866666666666667,0.0033333333333332993,0.4827712017714163,0.4827712017714163,0.4827712017714163,0.0,0.589719,0.588052,0.591386,0.003333999999999948,0.85,0.85,0.85,0.0,0.7075471698113207,0.7044025157232704,0.710691823899371,0.0062893081761006275
behavior,2,0.6633333333333333,0.6633333333333333,0.6633333333333333,0.0,0.645,0.6433333333333333,0.6466666666666666,0.0033333333333332993,0.5334418976422646,0.5333423053630308,0.5335414899214983,0.00019918455846745786,0.5983875000000001,0.598338,0.598437,9.899999999996023e-05,0.805,0.8,0.81,0.010000000000000009,0.7138364779874213,0.710691823899371,0.7169811320754716,0.0062893081761006275
