run_id,condition,seed_label,status,train_steps,best_step,best_eval_loss,final_eval_loss,last_train_loss,reward_margin_last_train,BFCL_core_accuracy,When2Call_behavior_accuracy,When2Call_macro_F1,primary_envelope_score,functionchat_output_type_accuracy,ifeval_style_instruction_accuracy
s6r002,noised_gold,seed2,pass,375,350,0.026466763836651808,0.026475727494471357,0.011144497897475958,5.7501983642578125,0.7,0.5833333333333334,0.4827712017714163,0.591386,0.85,0.7044025157232704
s6r003,noised_gold,seed3,pass,375,300,0.030456030297500547,0.03496438126239809,0.010520462179556489,5.258180379867554,0.6933333333333334,0.5866666666666667,0.4827712017714163,0.588052,0.85,0.710691823899371
s6r004,behavior,seed2,pass,375,375,0.0006748221112502506,0.0006748221112502506,0.0006162563804537058,7.472068786621094,0.6633333333333333,0.6433333333333333,0.5335414899214983,0.598437,0.81,0.710691823899371
s6r005,behavior,seed3,pass,375,375,0.0007443711047017132,0.0007443711047017132,0.00048457359662279487,7.765068054199219,0.6633333333333333,0.6466666666666666,0.5333423053630308,0.598338,0.8,0.7169811320754716
